id,idade,sexo,estado_civil
758076408,50,M,solteiro
714606558,60,F,casado
778425408,44,M,solteiro
714171108,48,F,divorciado
719662458,44,F,divorciado
713137233,41,M,solteiro
769425858,45,M,solteiro
711297483,47,F,divorciado
788900883,51,F,casado
758348808,51,M,casado
772336458,60,F,casado
708711483,57,M,casado
717906783,41,M,solteiro
719437908,44,M,divorciado
769433508,43,M,solteiro
790096533,55,M,casado
720997383,52,M,casado
787541883,44,M,na
709930758,41,M,casado
789830058,44,M,solteiro
710299608,53,F,casado
710741208,39,M,solteiro
821797008,49,M,casado
708874533,45,F,casado
715341858,54,M,casado
793636308,49,M,solteiro
713779908,46,F,solteiro
712125258,46,M,casado
709703433,47,M,casado
721022433,44,M,solteiro
710103558,50,M,solteiro
715952883,73,M,casado
719731458,56,M,na
772390908,59,M,solteiro
787348608,70,M,casado
709485033,55,F,casado
715432608,43,M,solteiro
799471833,45,M,solteiro
714187533,45,F,solteiro
779656908,40,M,casado
788950158,36,M,na
778867533,59,F,casado
710620383,43,M,casado
778661358,46,F,casado
789483333,41,M,casado
809855808,51,F,casado
718464258,51,F,na
708528483,43,F,divorciado
771809733,64,F,casado
719942883,54,M,casado
807226683,48,M,solteiro
717806133,40,M,divorciado
720615708,57,M,casado
714511758,45,M,solteiro
715050408,41,M,solteiro
721132233,42,F,casado
719211558,45,M,solteiro
712069008,42,F,casado
715996983,47,M,divorciado
773466258,48,F,casado
798983508,43,M,solteiro
719117433,41,M,na
716451183,54,F,casado
718621608,54,F,casado
715085733,61,M,casado
788977833,61,M,casado
720272958,48,M,casado
708421833,45,F,solteiro
709173108,54,F,casado
709879458,54,F,casado
715120608,44,M,solteiro
770632758,50,F,solteiro
779078733,55,M,casado
771742533,48,M,na
720250158,45,M,solteiro
716458983,60,M,casado
713747733,55,M,casado
712270158,62,F,casado
789562383,38,F,na
754897008,46,M,solteiro
819700533,50,M,solteiro
712890408,45,M,casado
720248208,47,M,divorciado
779749908,48,M,casado
717401883,35,M,casado
721509558,51,M,casado
710572458,36,F,casado
714576183,47,M,solteiro
721425558,52,M,solteiro
711109908,43,F,casado
715203108,63,M,casado
710027508,61,M,casado
787464408,53,M,solteiro
783542133,53,F,casado
708330858,57,M,casado
714426783,38,F,solteiro
712701333,53,M,casado
709494483,63,F,casado
773373108,49,F,casado
715812258,45,M,casado
778286433,67,M,casado
789270033,48,M,solteiro
711569433,51,F,divorciado
720214833,52,M,solteiro
709346133,55,F,casado
788194458,34,M,casado
720779733,56,M,casado
717424458,44,F,casado
708820308,47,M,na
710558058,46,F,casado
770590758,43,F,solteiro
718490658,50,F,solteiro
711985833,38,F,solteiro
708967608,53,F,solteiro
718505958,43,M,divorciado
715024233,53,M,casado
779249583,56,F,casado
709278258,54,M,casado
778928283,57,F,casado
712299858,62,M,casado
799224108,46,F,solteiro
809976033,49,M,casado
716203308,52,M,solteiro
714871683,58,M,casado
716139933,54,M,casado
716984658,49,M,casado
713086008,58,F,casado
713773458,52,M,solteiro
719242533,41,M,casado
772712658,62,F,casado
788868858,54,M,casado
811898133,40,F,divorciado
788808633,43,M,casado
779804208,53,F,solteiro
781391058,55,M,solteiro
790134408,46,M,solteiro
788853258,41,M,casado
711857733,49,M,solteiro
822969858,61,F,casado
719554758,46,M,casado
711643458,50,F,casado
788830683,40,M,solteiro
807030858,51,M,solteiro
793059108,50,F,casado
716568708,47,F,casado
828281733,43,M,casado
717229158,36,F,casado
715915458,47,F,casado
819129858,46,F,solteiro
713441958,46,M,casado
719091333,52,M,casado
708666258,43,M,casado
714914583,40,F,solteiro
714363858,54,F,casado
721347408,55,F,solteiro
809608533,49,F,solteiro
772047183,45,M,casado
714217908,49,M,casado
714819183,63,M,casado
716455683,40,F,solteiro
710865633,41,F,casado
752952108,37,M,casado
712595433,58,M,na
714982383,55,M,casado
813814008,53,F,casado
794545983,57,M,casado
708288108,43,M,na
715585158,58,M,casado
810449883,64,M,casado
789863208,54,F,casado
715022133,53,M,casado
712506708,39,F,solteiro
715699983,56,M,casado
818942433,54,F,divorciado
712459233,59,F,casado
716545383,42,M,solteiro
721144383,42,M,casado
821837958,43,M,na
804359133,55,M,casado
713308683,52,M,solteiro
788780958,46,M,na
717354558,57,M,casado
798473808,48,M,casado
712372158,45,M,casado
715192308,48,M,casado
708813033,47,M,solteiro
714639783,42,M,casado
709311633,41,M,na
709470858,51,M,casado
717292758,55,F,solteiro
779241783,67,M,casado
715205358,39,M,casado
778871508,54,M,solteiro
779462433,55,F,casado
710147958,47,M,casado
709864833,49,M,casado
778868958,42,F,casado
717276708,57,M,solteiro
710004933,44,M,casado
753606108,56,M,solteiro
710940183,49,F,casado
718927533,45,M,solteiro
719337408,63,M,casado
772308408,44,M,solteiro
712981383,44,F,casado
790099758,40,M,casado
709547658,39,M,solteiro
778770783,42,M,casado
713134458,54,M,casado
712159083,58,F,casado
713639958,46,F,divorciado
771180033,47,F,divorciado
717916758,67,F,casado
711089733,50,F,divorciado
716988633,55,M,divorciado
779031033,46,F,casado
716302383,47,F,casado
718281408,36,F,casado
721333233,40,M,divorciado
794496033,57,M,solteiro
710519433,48,M,divorciado
814995933,58,F,casado
721469433,48,M,solteiro
788386908,48,M,na
717198633,53,F,casado
767695083,50,M,casado
711791583,52,F,solteiro
712315683,53,F,solteiro
710038008,56,F,solteiro
789129033,44,M,solteiro
718349058,49,M,casado
789842283,54,M,casado
714513033,39,F,solteiro
714717483,39,F,divorciado
714900408,41,F,solteiro
719418933,53,M,casado
720115683,47,M,casado
779504058,46,F,casado
795979833,53,F,casado
717392358,60,M,casado
718640508,59,F,solteiro
803366358,38,M,solteiro
709230708,56,M,solteiro
781794708,35,M,na
801383808,50,M,solteiro
710677608,53,M,na
708217758,63,M,casado
714272658,43,F,solteiro
717469158,46,M,casado
711864783,61,M,solteiro
719407983,37,F,casado
710665533,42,F,casado
716804283,41,M,divorciado
767294658,56,M,solteiro
709122483,56,M,casado
708241233,52,F,solteiro
717860358,40,F,solteiro
789337233,63,M,casado
720902133,58,M,solteiro
721043058,58,M,casado
711870333,46,M,divorciado
708398283,37,F,casado
715878183,46,M,solteiro
719451483,46,F,casado
709110633,41,M,solteiro
721059033,48,F,divorciado
779912283,49,F,solteiro
717701733,44,M,casado
709913733,39,F,casado
718768158,57,M,solteiro
721375308,48,M,casado
711374283,47,M,solteiro
822893133,56,F,divorciado
778465533,54,F,casado
712138983,54,M,casado
716920908,52,M,casado
708095133,43,M,na
711195558,59,M,solteiro
772735758,44,M,casado
712024908,56,F,casado
778239933,45,F,casado
714893733,55,M,casado
754886958,48,F,divorciado
710104908,56,F,solteiro
710558883,41,M,casado
713827383,65,F,casado
720267033,34,M,solteiro
712049208,56,M,casado
708688608,62,F,casado
716223708,45,F,solteiro
713217858,38,F,solteiro
819352983,49,M,na
711019308,58,M,solteiro
768600558,41,F,solteiro
710202783,33,M,casado
712899333,47,F,solteiro
767036433,56,F,casado
793473033,51,M,solteiro
721232058,49,M,na
719443683,50,M,solteiro
715449333,55,F,casado
717998058,26,M,solteiro
779610033,58,M,casado
827332983,46,M,solteiro
721183983,48,M,casado
718426533,42,M,divorciado
710698233,37,M,casado
780253533,63,F,casado
793581933,50,M,solteiro
719229708,41,F,solteiro
715158483,48,F,divorciado
809296308,46,M,solteiro
778176108,61,M,solteiro
796532958,59,F,casado
709345008,53,F,casado
717049533,39,F,na
719366358,51,M,casado
721417233,45,M,casado
711622683,48,M,solteiro
714578283,47,M,casado
769574883,41,M,casado
717643608,48,M,casado
709198158,50,F,solteiro
712419708,56,F,casado
709103358,39,F,solteiro
716966808,47,M,casado
772264383,44,M,solteiro
721057758,61,F,casado
769137108,43,F,casado
717640083,59,M,casado
716445783,42,F,casado
708579633,40,M,divorciado
718715583,65,M,casado
778686408,48,M,casado
715015683,44,M,solteiro
805254708,36,F,casado
710462433,45,M,solteiro
721342383,39,M,casado
720179883,40,M,na
794977533,62,M,casado
779445108,26,M,solteiro
718193958,60,M,solteiro
710955633,54,F,solteiro
716149383,62,M,casado
752604633,57,M,casado
713889933,59,M,solteiro
709446783,46,M,solteiro
789115833,44,M,solteiro
711242058,48,M,solteiro
787623858,43,M,divorciado
709040508,57,M,casado
708864708,46,M,na
717758583,40,M,na
715416633,54,M,casado
717956283,57,F,solteiro
721379433,44,M,casado
712027683,47,F,casado
716027208,47,M,casado
720475233,50,F,casado
712275108,53,F,casado
718121658,56,M,casado
711593808,55,M,casado
716222808,53,F,casado
718731183,61,M,casado
788779008,57,M,casado
710404533,50,M,casado
711173058,56,F,casado
715383108,52,M,solteiro
711697158,60,M,casado
709186983,49,M,casado
808964433,46,F,divorciado
711948333,42,M,casado
710541858,45,M,casado
713865333,45,F,casado
797707008,44,F,casado
713490483,61,M,solteiro
720370533,55,M,casado
779743908,44,M,divorciado
718675158,55,F,casado
710784333,57,M,casado
816596583,45,M,casado
717517758,57,F,casado
712880283,31,M,casado
753226158,34,F,casado
720605808,53,F,solteiro
758317233,35,F,solteiro
711028308,44,F,casado
814852533,50,M,casado
711526533,33,M,casado
804403908,50,M,solteiro
716999883,51,M,casado
716452083,56,F,casado
787599258,55,F,solteiro
714495258,26,M,solteiro
717713283,42,F,casado
789317883,54,M,casado
714500883,44,F,casado
789467508,65,F,casado
710317758,38,F,casado
711231558,58,M,casado
716829483,39,F,casado
779713608,52,M,casado
711628458,45,F,casado
718943508,42,M,solteiro
770724558,42,M,casado
783561558,57,M,casado
719309958,55,M,solteiro
788785083,44,F,na
780481308,37,F,casado
711757383,50,F,casado
787550808,51,M,casado
779863533,37,M,casado
714529233,36,F,casado
708177333,51,F,casado
812019933,65,M,casado
708557358,43,M,casado
713580633,46,M,casado
711466533,43,F,casado
802276683,56,M,casado
780913308,43,M,solteiro
808897683,53,M,solteiro
719428308,50,M,na
713010483,43,F,casado
717006333,54,M,casado
787621158,33,M,casado
716924058,58,F,casado
720916683,41,M,solteiro
720923658,48,M,solteiro
712710708,55,M,solteiro
718939083,54,F,casado
779519058,51,F,divorciado
719085933,35,M,solteiro
715124958,50,M,solteiro
712979133,55,M,casado
712006308,45,F,divorciado
710801133,34,M,casado
712490283,55,F,casado
720071583,48,F,casado
717958833,46,M,casado
812420358,61,F,casado
712370208,48,M,na
715940358,51,F,casado
715041333,39,M,casado
712797258,43,M,casado
769170558,53,M,solteiro
715884858,38,M,casado
796343058,49,F,solteiro
783910008,37,F,casado
718888308,53,M,solteiro
785114808,46,M,solteiro
709852908,44,F,solteiro
823528833,50,F,solteiro
719679858,58,F,casado
827108583,55,M,solteiro
787833333,44,M,na
719781183,57,M,casado
710429358,57,M,casado
798792408,48,M,casado
710280558,51,M,solteiro
809825358,53,F,casado
714451833,45,F,solteiro
713943783,41,M,casado
710706558,51,F,solteiro
713620308,46,F,casado
813453408,40,F,casado
818248383,33,M,casado
780106908,53,M,solteiro
708938508,63,M,casado
709671708,61,M,solteiro
711204483,56,M,casado
801728658,53,M,solteiro
713945883,62,F,casado
779558733,50,F,casado
788370258,37,M,casado
714927333,62,F,casado
710383158,49,M,solteiro
798007308,57,F,casado
711768858,55,M,casado
714888633,50,M,casado
712650333,48,M,casado
719945433,60,F,divorciado
720310458,46,M,solteiro
718344033,47,M,casado
715442958,54,M,casado
780326883,53,M,casado
711157833,56,F,solteiro
719704308,56,F,casado
708772308,41,M,casado
817663908,60,F,casado
780054258,40,M,na
709990983,49,F,casado
818045958,46,M,solteiro
716380683,36,F,casado
787480158,57,F,casado
778461408,38,M,casado
713861733,50,M,divorciado
789291633,62,M,casado
789513858,43,M,casado
778357458,44,F,solteiro
718325883,39,M,solteiro
720344658,38,M,casado
809292483,44,F,casado
779791008,43,M,casado
779557533,54,M,solteiro
795904233,38,F,solteiro
710573808,55,M,solteiro
717418158,42,M,na
771963708,56,M,casado
712433508,59,F,casado
779320983,46,M,solteiro
718093233,55,F,casado
719459358,52,M,casado
717728808,39,F,casado
788701608,42,F,solteiro
778506633,43,F,casado
719989008,47,F,na
791839233,42,F,divorciado
716918508,39,M,solteiro
717321783,50,M,solteiro
799000008,57,M,divorciado
721517208,41,M,casado
719068683,52,F,casado
709120008,43,M,solteiro
709117533,42,M,solteiro
816594183,58,F,casado
789485433,42,M,casado
712881483,55,M,casado
712689333,38,M,solteiro
771492408,40,F,casado
711668283,48,M,casado
772684833,32,F,casado
712960308,33,F,solteiro
713530833,58,M,casado
756065433,26,M,solteiro
710997183,46,M,casado
711146358,39,F,casado
716144058,36,F,solteiro
778699908,43,M,casado
713571258,45,M,solteiro
711676908,51,F,casado
719315508,62,F,casado
778623858,58,M,casado
714665733,42,M,solteiro
816089433,49,M,casado
716991933,53,F,solteiro
714534108,45,F,casado
787456608,29,M,casado
717090183,60,M,casado
772782708,50,M,solteiro
710722908,53,M,solteiro
795155433,45,M,casado
715271733,50,F,solteiro
771706308,46,M,solteiro
713989233,61,M,casado
780198258,46,M,solteiro
802002858,62,F,casado
716290233,43,F,casado
828298908,54,M,casado
788946783,50,M,solteiro
720697908,35,M,casado
780598383,35,M,solteiro
715345833,36,F,solteiro
710831133,42,M,casado
766706358,39,F,casado
816533733,50,M,casado
712373208,43,M,solteiro
721433283,39,F,solteiro
720680058,47,M,casado
716909283,60,M,solteiro
754654383,30,M,casado
719226333,44,M,solteiro
779759058,52,M,solteiro
718206783,45,F,solteiro
715783758,40,M,divorciado
771190083,36,F,solteiro
713135883,65,F,casado
778799583,35,F,casado
808796208,54,F,divorciado
708313608,53,M,casado
779330208,62,F,casado
794498733,40,M,solteiro
807964908,41,M,casado
823845783,53,M,casado
711748983,30,M,casado
718064283,46,M,divorciado
710492733,29,M,solteiro
779016408,37,F,casado
717787533,51,F,casado
714851058,31,M,casado
823535133,45,M,na
708455883,57,M,solteiro
780095808,43,M,divorciado
709207458,44,M,casado
763895958,53,M,casado
715942683,32,F,solteiro
721301733,53,M,casado
711927108,54,M,casado
718083483,42,M,na
717548358,38,F,casado
816829608,44,M,casado
713936583,54,M,casado
709682658,37,F,solteiro
793889508,48,F,casado
714648933,55,F,casado
711556533,43,F,na
717420333,37,M,solteiro
768921933,34,M,casado
714311583,46,F,solteiro
717707133,32,M,solteiro
716043258,53,M,casado
716343408,46,M,divorciado
718909158,38,M,casado
719471433,31,F,casado
712763808,38,M,solteiro
711147483,46,F,solteiro
719788833,47,M,casado
715168983,47,F,casado
714306258,56,M,casado
713828208,47,M,na
710574558,47,M,solteiro
710947683,64,F,casado
711113958,37,F,casado
718923858,42,M,casado
752666508,41,M,casado
712672083,65,F,casado
719863758,49,F,casado
720990183,54,M,casado
720718908,46,M,solteiro
721250358,50,M,casado
779773533,50,F,casado
708249708,48,F,casado
713967783,62,F,casado
779506158,39,F,casado
759823158,46,M,casado
716608608,41,M,casado
789528183,39,F,casado
708895158,46,M,casado
824805858,39,F,solteiro
720840108,44,M,casado
787595658,57,F,solteiro
720244983,40,M,solteiro
713220258,65,F,casado
813469458,26,F,solteiro
788939358,47,M,na
718870158,47,M,casado
788673708,57,F,casado
711809283,31,M,casado
816513108,54,M,casado
718594608,43,F,casado
823606983,39,M,casado
717028158,53,M,casado
788485908,44,M,casado
714472608,59,M,casado
710793783,53,F,casado
794340033,34,F,casado
716462658,47,M,solteiro
718050033,54,M,casado
714023808,42,F,casado
716341833,53,F,casado
719648358,50,M,solteiro
816600933,56,M,casado
714208533,43,M,casado
713095533,44,F,divorciado
809967783,34,F,divorciado
715848408,61,M,na
714414483,54,F,casado
708655983,49,F,divorciado
720426708,56,M,solteiro
713743158,47,M,casado
721279083,53,M,solteiro
779149683,30,F,divorciado
714970458,39,F,casado
719070108,44,M,casado
715490733,54,F,solteiro
714989583,46,M,casado
820355433,43,M,solteiro
715901508,35,M,casado
710370483,39,F,casado
778573233,61,F,casado
708833133,40,F,divorciado
719885883,53,M,solteiro
712523283,55,M,casado
711309033,41,M,solteiro
708134283,35,M,casado
720147633,61,M,solteiro
708983658,51,M,solteiro
766285608,42,M,solteiro
779715108,46,M,divorciado
798035358,46,F,solteiro
719391783,46,M,casado
809342208,26,M,solteiro
780713058,46,M,casado
779338683,62,M,casado
783387783,55,M,divorciado
787800108,55,M,casado
721397808,32,M,casado
778698408,37,F,casado
709545333,33,F,solteiro
716032233,42,M,casado
717835908,33,M,casado
719466558,60,F,solteiro
778663458,65,M,casado
716024808,57,M,casado
713008308,59,F,casado
794831733,45,F,casado
713854608,62,M,casado
715993608,51,M,solteiro
789368658,57,M,casado
802817358,38,F,casado
708098133,32,F,casado
801499908,43,F,casado
824770683,51,F,divorciado
718310733,50,M,divorciado
708162558,64,F,casado
721129383,53,F,casado
721249158,42,M,solteiro
721049658,53,M,solteiro
806392908,52,F,solteiro
714886533,60,F,casado
772375533,30,M,casado
826775058,43,F,casado
711878733,60,M,casado
714550383,46,M,solteiro
712636308,65,F,casado
772139433,44,F,solteiro
709058808,56,F,casado
813240408,45,F,casado
767753958,37,M,na
710111733,48,M,casado
761544333,37,F,casado
788814783,39,M,solteiro
715034358,41,M,casado
709624533,55,F,casado
709942383,34,M,casado
803957508,52,M,solteiro
713378133,54,F,solteiro
709217358,40,M,casado
720998358,52,M,casado
721051908,45,M,solteiro
715232058,61,M,casado
806250783,57,F,casado
817245183,51,M,na
713670333,60,M,solteiro
826477083,48,F,casado
788728608,34,M,casado
717190533,49,M,casado
716580033,53,M,casado
711644508,34,M,solteiro
714334383,54,M,casado
720611058,40,M,solteiro
712420833,49,F,solteiro
713845083,41,F,solteiro
713756508,46,M,divorciado
735565158,46,M,casado
714131058,30,M,na
717180633,59,M,casado
717295683,50,M,solteiro
713128833,49,M,na
813499458,45,M,na
710070183,53,F,solteiro
789605658,42,F,casado
710045058,46,M,casado
710164683,33,M,casado
710802258,46,F,casado
721036233,61,M,casado
710036508,42,M,casado
717776808,47,F,solteiro
714906033,47,F,solteiro
714273708,53,F,casado
721117533,46,F,solteiro
715374558,26,M,divorciado
824807658,45,M,casado
714940608,36,M,divorciado
824782008,42,M,na
717561108,52,M,casado
717127083,37,M,casado
772460508,53,M,casado
720484908,65,F,casado
771237933,47,M,na
794664183,38,M,casado
797488158,52,M,casado
708543258,36,M,casado
778706508,43,M,casado
712240083,38,F,solteiro
713650683,65,F,casado
772532208,51,F,casado
778929783,40,M,divorciado
714244383,39,M,na
718797558,39,F,casado
712821333,60,M,casado
721120008,43,F,solteiro
709633533,31,M,casado
710789058,55,M,solteiro
716174433,65,F,casado
789886533,54,F,casado
715210308,40,F,casado
721038408,38,F,casado
713325108,36,M,casado
720352533,43,M,na
708431433,41,M,casado
716996583,50,M,divorciado
718699683,48,M,casado
771359958,39,M,solteiro
716604633,55,F,casado
813952233,44,M,na
713053383,42,M,casado
709979583,54,M,casado
709380333,57,M,casado
778574283,53,F,casado
789875883,41,F,solteiro
714661233,39,M,solteiro
813915933,45,M,divorciado
708358683,46,M,casado
824761458,54,M,casado
715362183,40,F,casado
721194858,48,M,na
803595858,56,F,casado
716198358,33,F,casado
714173808,44,F,solteiro
709465758,62,F,casado
714081558,33,F,casado
717364458,36,F,casado
778755858,46,M,na
710754933,61,F,casado
720007383,41,F,solteiro
810220833,42,M,na
718362783,35,M,casado
708267858,65,F,casado
708856983,36,M,casado
715588908,42,F,solteiro
772674933,51,M,casado
720148983,54,F,casado
720650208,40,F,na
769732233,40,M,casado
713030958,57,F,casado
711320508,57,M,casado
795795408,53,M,casado
717904383,40,M,casado
714115533,28,M,casado
712475733,38,F,casado
718996758,37,F,casado
713049933,65,F,casado
709961958,58,F,divorciado
718301508,41,M,casado
714831033,54,M,casado
710653158,39,F,casado
721265883,26,M,solteiro
715049583,60,M,casado
715394883,35,F,casado
773448558,46,M,divorciado
717249783,47,M,na
708344358,53,F,casado
712003083,55,M,casado
754282908,50,F,casado
717412608,38,F,casado
719412258,39,F,solteiro
788675658,39,F,solteiro
717683583,39,M,solteiro
820584408,49,F,solteiro
719392833,45,F,casado
718595583,55,M,casado
778508883,44,M,casado
715511658,49,F,na
711999783,41,M,casado
753856008,49,F,na
789920883,45,F,solteiro
788677533,44,M,casado
716284308,65,M,casado
712120608,35,M,casado
715482483,26,M,solteiro
720848733,38,M,casado
708480333,65,M,solteiro
826723308,58,M,casado
801369258,47,F,casado
709584483,33,F,casado
715708308,54,F,casado
779707308,35,F,casado
711688158,47,M,solteiro
711848658,35,M,casado
715855083,48,M,casado
778971408,36,M,casado
711648708,44,M,casado
713149683,44,F,solteiro
771903033,36,F,casado
737925558,64,M,casado
803347908,34,F,solteiro
817285758,49,M,solteiro
711480108,37,M,casado
709662708,65,M,casado
709224858,53,M,casado
821771508,32,M,casado
712216533,44,M,solteiro
710522433,65,M,casado
779046408,60,M,casado
708595158,27,F,solteiro
757266933,52,M,casado
816776283,42,M,na
719904333,29,M,casado
718264233,29,M,casado
784798683,38,M,casado
710899833,36,M,casado
780025908,40,F,casado
713610033,47,M,solteiro
709364433,36,F,casado
713086908,26,M,solteiro
709793133,43,F,solteiro
710032608,52,F,solteiro
779351208,49,M,solteiro
719776608,50,M,casado
709220583,34,M,divorciado
719555733,53,F,casado
740852733,49,M,casado
709528308,53,M,casado
715127208,48,M,divorciado
817144458,32,F,solteiro
710628783,38,M,solteiro
772145658,43,M,solteiro
739594758,51,F,solteiro
789198708,58,M,casado
720953658,59,F,casado
771330558,51,M,casado
714078558,62,F,casado
712207683,38,M,divorciado
788826408,33,M,casado
790128033,54,M,solteiro
718082208,37,F,casado
712037358,30,M,casado
711711483,61,M,casado
718861458,49,M,solteiro
709426608,56,M,casado
811457058,51,F,casado
773073558,44,F,divorciado
715937133,64,F,casado
713480583,46,F,casado
716383683,39,F,na
713693958,38,F,solteiro
715443708,53,M,casado
770769483,35,M,casado
789326808,26,M,solteiro
712105533,32,M,solteiro
720674133,36,M,casado
779216358,48,M,casado
717322833,55,M,solteiro
710279508,52,M,casado
712168833,52,F,casado
780581508,58,F,solteiro
711957708,38,F,casado
778782858,60,M,solteiro
712924383,55,M,solteiro
709366458,43,F,casado
796990908,35,M,solteiro
715702758,38,F,casado
788974608,48,M,na
714790008,38,F,solteiro
787438983,43,M,solteiro
713834358,36,F,casado
710084883,34,M,casado
710736558,39,F,casado
788915283,43,F,solteiro
714916758,48,F,casado
789611283,44,M,casado
773288958,38,M,casado
811721133,62,M,casado
813961233,30,M,solteiro
783020958,39,M,casado
715764483,53,F,na
798110358,64,F,casado
715745508,51,F,solteiro
714350658,32,M,solteiro
826478958,52,M,casado
719127558,43,M,divorciado
712454958,40,M,solteiro
718561458,54,M,casado
822984108,34,F,solteiro
719469333,33,F,solteiro
720871383,36,M,casado
788827308,65,M,casado
710180958,43,M,solteiro
778346283,53,M,casado
